ticker,Sector
AXP,Financial Services
AMGN,Healthcare
AAPL,Technology
BA,Industrials
CAT,Industrials
CSCO,Technology
CVX,Energy
GS,Financial Services
HD,Consumer Cyclical
HON,Industrials
IBM,Technology
INTC,Technology
JNJ,Healthcare
KO,Consumer Defensive
JPM,Financial Services
MCD,Consumer Cyclical
MMM,Industrials
MRK,Healthcare
MSFT,Technology
NKE,Consumer Cyclical
PG,Consumer Defensive
TRV,Financial Services
UNH,Healthcare
CRM,Technology
VZ,Communication Services
V,Financial Services
WBA,Healthcare
WMT,Consumer Defensive
DIS,Communication Services
DOW,Basic Materials
